,City,⭐️ Total score,👍 Quality of life score,👶 Family score,💵 Cost,📡 Internet,😝 Fun,⛅️ Temperature (now),💦 Humidity (now),💨 Air quality (now),💨 Air quality (annual),👌 Safety,👮‍♀️ Lack of crime*,🤝 Lack of racism*,🎓 Education level*,💰 Income level*,🙊 English speaking*,😤 People density,🚶 Walkability,✌️ Peace (no pol. conflict),🚦 Traffic safety*,🏥 Hospitals*,😄 Happiness*,🍸 Nightlife,📶 Free WiFi in city,🖥 Places to work from,❄️ A/C or heating,😁 Friendly to foreigners,🗯 Freedom of speech*,👩 Female friendly,🌈 LGBTQ+ friendly,🎅 Startup Score
0,Lisbon,"⭐️ Total score
4.8/5 (Rank #1)
255 reviews","👍 Quality of life score
Good","👶 Family score
Good","💵 Cost
😙 Affordable: $2,082 / mo","📡 Internet
🏎 Fast: 26Mbps (avg)","😝 Fun
Great","⛅️ Temperature (now)
🌞 Nice: 18°C (feels 19°C)","💦 Humidity (now)
😊 Comfy: 76%","💨 Air quality (now)
🌱 Great: 16 US AQI","💨 Air quality (annual)
🌱 Great: 32 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Okay","🎓 Education level*
Mediocre","💰 Income level*
Low: $1,646 / mo","🙊 English speaking*
Great","😤 People density
🧘‍♀️ Low density: 6k ppl/km² (12x12m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Good","🚦 Traffic safety*
Okay","🏥 Hospitals*
Bad","😄 Happiness*
Okay","🍸 Nightlife
Okay","📶 Free WiFi in city
Okay","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
1,Cape Town,"⭐️ Total score
4.67/5 (Rank #2)
251 reviews","👍 Quality of life score
Good","👶 Family score
Good","💵 Cost
😙 Affordable: $1,692 / mo","📡 Internet
🙂 Good: 8Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Perfect: 22°C (feels 22°C)","💦 Humidity (now)
😊 Comfy: 87%","💨 Air quality (now)
🌱 Great: 1 US AQI","💨 Air quality (annual)
🌱 Great: 16 US AQI","👌 Safety
Okay","👮‍♀️ Lack of crime*
Very bad","🤝 Lack of racism*
Okay","🎓 Education level*
Mediocre","💰 Income level*
Very low: $425 / mo","🙊 English speaking*
Great","😤 People density
🧘‍♀️ Low density: 4k ppl/km² (16x16m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad","🏥 Hospitals*
Good","😄 Happiness*
Bad","🍸 Nightlife
Good","📶 Free WiFi in city
Good","🖥 Places to work from
Great","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Good","👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
2,Porto,"⭐️ Total score
4.59/5 (Rank #3)
243 reviews","👍 Quality of life score
Good","👶 Family score
Good","💵 Cost
😙 Affordable: $1,945 / mo","📡 Internet
🏎 Fast: 33Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🥶 A bit cold: 17°C (feels 18°C)","💦 Humidity (now)
💦 Damp: 73%","💨 Air quality (now)
🌱 Great: 2 US AQI","💨 Air quality (annual)
🌱 Great: 11 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Okay","🎓 Education level*
Mediocre","💰 Income level*
Low: $1,646 / mo","🙊 English speaking*
Good",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Good","🚦 Traffic safety*
Okay","🏥 Hospitals*
Great","😄 Happiness*
Okay","🍸 Nightlife
Okay","📶 Free WiFi in city
Good","🖥 Places to work from
Great","❄️ A/C or heating
Great","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
3,Madeira,"⭐️ Total score
4.57/5 (Rank #4)
229 reviews","👍 Quality of life score
Good","👶 Family score
Good","💵 Cost
😙 Affordable: $2,059 / mo","📡 Internet
🏎 Fast: 38Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Nice: 19°C (feels 19°C)","💦 Humidity (now)
😊 Comfy: 91%","💨 Air quality (now)
🌱 Great: 47 US AQI",None,"👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Okay","🎓 Education level*
Mediocre","💰 Income level*
Low: $1,646 / mo","🙊 English speaking*
Good",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Good","🚦 Traffic safety*
Okay",None,"😄 Happiness*
Okay","🍸 Nightlife
Okay","📶 Free WiFi in city
Great","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Great","🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
4,"Las Palmas, Canary Islands","⭐️ Total score
4.56/5 (Rank #5)
264 reviews","👍 Quality of life score
Good","👶 Family score
Good","💵 Cost
😙 Affordable: $2,298 / mo","📡 Internet
🏎 Fast: 25Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Perfect: 22°C (feels 22°C)","💦 Humidity (now)
😊 Comfy: 88%","💨 Air quality (now)
🌱 Great: 30 US AQI","💨 Air quality (annual)
🌱 Great: 38 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Okay","🎓 Education level*
High","💰 Income level*
Mediocre: $2,225 / mo","🙊 English speaking*
Okay",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Okay",None,"😄 Happiness*
Good","🍸 Nightlife
Good","📶 Free WiFi in city
Okay","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
5,Ericeira,"⭐️ Total score
4.54/5 (Rank #6)
208 reviews","👍 Quality of life score
Good","👶 Family score
Good","💵 Cost
😙 Affordable: $2,233 / mo","📡 Internet
🏎 Fast: 39Mbps (avg)","😝 Fun
Great","⛅️ Temperature (now)
🥶 A bit cold: 16°C (feels 16°C)","💦 Humidity (now)
💦 Damp: 81%","💨 Air quality (now)
🌱 Great: 35 US AQI","💨 Air quality (annual)
🌱 Great: 32 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Great","🎓 Education level*
Mediocre","💰 Income level*
Low: $1,646 / mo","🙊 English speaking*
Great",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Good","🚦 Traffic safety*
Okay",None,"😄 Happiness*
Okay","🍸 Nightlife
Great","📶 Free WiFi in city
Great","🖥 Places to work from
Great","❄️ A/C or heating
Good","😁 Friendly to foreigners
Great","🗯 Freedom of speech*
Good","👩 Female friendly
Great","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
6,"Canggu, Bali","⭐️ Total score
4.52/5 (Rank #7)
266 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
😙 Affordable: $1,112 / mo","📡 Internet
🏎 Fast: 18Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Perfect: 29°C (feels 37°C)","💦 Humidity (now)
🥵 Sweaty: 92%","💨 Air quality (now)
🌱 Great: 2 US AQI",None,"👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Good","🎓 Education level*
Mediocre","💰 Income level*
Very low: $298 / mo","🙊 English speaking*
Bad","😤 People density
🧘‍♀️ Low density: 8k ppl/km² (11x11m)","🚶 Walkability
Okay","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Okay","🍸 Nightlife
Good","📶 Free WiFi in city
Good","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Great","🗯 Freedom of speech*
Okay","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Good","🎅 Startup Score
Okay"
7,"Miami, FL","⭐️ Total score
4.5/5 (Rank #8)
252 reviews","👍 Quality of life score
Good","👶 Family score
Good","💵 Cost
🧐 Too expensive: $4,631 / mo","📡 Internet
🏎 Fast: 39Mbps (avg)","😝 Fun
Great","⛅️ Temperature (now)
🌞 Perfect: 24°C (feels 24°C)","💦 Humidity (now)
😊 Comfy: 74%","💨 Air quality (now)
🌱 Great: 26 US AQI","💨 Air quality (annual)
🌱 Great: 33 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Good","🎓 Education level*
High","💰 Income level*
Very high: $4,817 / mo","🙊 English speaking*
Good","😤 People density
🧘‍♀️ Low density: 4k ppl/km² (15x15m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Okay","🏥 Hospitals*
Great","😄 Happiness*
Good","🍸 Nightlife
Great","📶 Free WiFi in city
Great","🖥 Places to work from
Great","❄️ A/C or heating
Great","😁 Friendly to foreigners
Great","🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
8,Mexico City,"⭐️ Total score
4.5/5 (Rank #9)
248 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
😙 Affordable: $1,486 / mo","📡 Internet
🏎 Fast: 19Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Nice: 18°C (feels 18°C)","💦 Humidity (now)
😊 Comfy: 71%","💨 Air quality (now)
🌱 Great: 17 US AQI","💨 Air quality (annual)
🌱 Good: 56 US AQI","👌 Safety
Okay","👮‍♀️ Lack of crime*
Bad","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $704 / mo","🙊 English speaking*
Bad","😤 People density
🧘‍♀️ Low density: 9k ppl/km² (11x11m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Okay",None,"😄 Happiness*
Good","🍸 Nightlife
Good","📶 Free WiFi in city
Okay","🖥 Places to work from
Great","❄️ A/C or heating
Great","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Bad","👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
9,Ko Pha Ngan,"⭐️ Total score
4.46/5 (Rank #10)
231 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
😙 Affordable: $1,053 / mo","📡 Internet
🏎 Fast: 20Mbps (avg)","😝 Fun
Great","⛅️ Temperature (now)
🌞 Perfect: 25°C (feels 25°C)","💦 Humidity (now)
😊 Comfy: 98%","💨 Air quality (now)
🌱 Great: 17 US AQI",None,"👌 Safety
Great","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $493 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Good","🍸 Nightlife
Good","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Great","🗯 Freedom of speech*
Okay","👩 Female friendly
Great","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
