city,rank,total_score,life_quality,family_score,cost,internet,fun,air,crime,racism,Education,income,speak_english,walkability,traffic_safety,happiness,nightlife,free_wifi,coworking_places,ac_heating,foreigner frendly,speech_freedom,female_frendly,lgbtq_plus_friendly,startup_score,lat,long,country
Lisbon,0,4.8,4.0,4.0,2082.0,26.0,5.0,32.0,5.0,3.0,3.0,1646.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,38.7077507,-9.1365919, Portugal
Cape Town,1,4.6,4.0,4.0,1692.0,8.0,4.0,16.0,1.0,3.0,3.0,425.0,5.0,5.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,-33.928992,18.417396, South Africa
Porto,2,4.5,4.0,4.0,1945.0,33.0,4.0,11.0,5.0,3.0,3.0,1646.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,41.1494512,-8.6107884, Portugal
Madeira,3,4.5,4.0,4.0,2059.0,38.0,4.0,11.0,5.0,3.0,3.0,1646.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,32.751748750000004,-16.981752048847362, Portugal
Las Palmas Canary Islands,4,4.5,4.0,4.0,2298.0,25.0,4.0,38.0,5.0,3.0,4.0,2225.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,27.9580004,-15.6062305376665, España
Ericeira,5,4.5,4.0,4.0,2233.0,39.0,5.0,32.0,5.0,5.0,3.0,1646.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,38.97039795,-9.399580512067734, Portugal
Canggu Bali,6,4.5,4.0,3.0,1112.0,18.0,4.0,32.0,5.0,4.0,3.0,298.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,-8.650618,115.1364993, Indonesia
Miami FL,7,4.5,4.0,4.0,4631.0,39.0,5.0,33.0,4.0,4.0,4.0,4817.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,25.7741728,-80.19362, United States
Mexico City,8,4.5,4.0,3.0,1486.0,19.0,4.0,56.0,2.0,2.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,19.4326296,-99.1331785, México
Ko Pha Ngan,9,4.4,4.0,3.0,1053.0,20.0,5.0,56.0,4.0,2.0,3.0,493.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,9.7349503,100.0305710845208, ประเทศไทย
Berlin,11,4.4,4.0,4.0,3069.0,29.0,5.0,23.0,5.0,4.0,4.0,3538.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,52.5170365,13.3888599, Deutschland
Istanbul,12,4.4,4.0,3.0,947.0,11.0,4.0,111.0,4.0,3.0,3.0,905.0,2.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,41.0096334,28.9651646, Türkiye
Puerto Escondido,13,4.4,4.0,3.0,1754.0,25.0,4.0,111.0,2.0,4.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,5.0,2.0,15.8693331,-97.0726428, México
Singapore,14,4.3,4.0,4.0,2856.0,105.0,4.0,54.0,5.0,4.0,4.0,4401.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,3.0,1.357107,103.8194992, Singapore
Playa del Carmen,15,4.2,4.0,3.0,1343.0,9.0,5.0,54.0,2.0,3.0,3.0,704.0,2.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,2.0,3.0,5.0,2.0,20.6308643,-87.0779503, México
Prague,16,4.2,4.0,4.0,2195.0,38.0,5.0,56.0,5.0,2.0,4.0,1534.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,50.0874654,14.4212535, Česko
Austin TX,17,4.2,4.0,4.0,4402.0,68.0,5.0,38.0,4.0,4.0,4.0,4817.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,30.2711286,-97.7436995, United States
Taipei,18,4.2,4.0,4.0,1972.0,20.0,3.0,85.0,5.0,4.0,4.0,2048.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,25.0375198,121.5636796, 臺灣
